ID,Name,State,City,Skills,Qualifications,Year_of_Study,GPA,Rural_or_Urban,First_Time_Applicant
55,Mohit Bhatia,Chhattisgarh,Raipur,"Video Editing, Photoshop, Graphic Design",Diploma,1st,7.52,Rural,Yes
56,Harsh Vardhan,Assam,Guwahati,"UI/UX, Photoshop, Graphic Design",Diploma,Postgraduate,9.09,Urban,No
57,Ishita Roy,Maharashtra,Mumbai,"Video Editing, Graphic Design, UI/UX",B.Tech,4th,7.11,Rural,No
58,Shruti Pandey,Jharkhand,Ranchi,"Social Media, SEO, Digital Marketing",Medical,1st,6.29,Urban,Yes
59,Riddhi Deshmukh,Kerala,Kochi,"Nursing, Lab Analysis, Public Health",B.Tech,Graduate,9.01,Urban,Yes
60,Vihaan Gupta,Uttar Pradesh,Lucknow,"Photoshop, UI/UX, Graphic Design",Medical,Graduate,8.76,Urban,Yes
61,Prisha Anand,Punjab,Amritsar,"Counselling, Teaching, Training",BBA,2nd,9.93,Urban,No
62,Vivaan Patel,Gujarat,Ahmedabad,"Excel, Financial Analysis, Taxation",Medical,3rd,6.52,Urban,Yes
63,Riddhi Deshmukh,Maharashtra,Pune,"Public Health, Lab Analysis, Nursing",Law,4th,8.64,Urban,No
64,Neha Chatterjee,Maharashtra,Pune,"SEO, Content Writing, Digital Marketing",BBA,4th,8.87,Rural,No
65,Omkar Patil,Punjab,Amritsar,"Lab Analysis, Nursing, Public Health",B.Tech,Graduate,7.99,Urban,Yes
66,Ananya Mishra,Tamil Nadu,Chennai,"Auditing, Taxation, Excel",Law,4th,6.72,Rural,Yes
67,Sanya Singh,Assam,Guwahati,"Digital Marketing, Social Media, Market Research",Medical,1st,7.37,Urban,No
68,Charvi Singh,Odisha,Bhubaneswar,"SQL, Web Development, Java",MBA,2nd,7.93,Rural,Yes
69,Prisha Anand,Odisha,Bhubaneswar,"Social Work, Counselling, Training",B.Sc,4th,8.49,Rural,No
70,Diya Nair,Uttar Pradesh,Lucknow,"Video Editing, Photoshop, Graphic Design",Medical,Postgraduate,6.38,Rural,Yes
71,Krishna Menon,Chhattisgarh,Raipur,"Taxation, Auditing, Accounting",Medical,Graduate,9.47,Urban,Yes
72,Diya Nair,Bihar,Patna,"Web Development, SQL, Java",Law,3rd,7.04,Urban,Yes
73,Avni Sharma,Haryana,Gurgaon,"Machine Learning, Web Development, Java",Diploma,Postgraduate,7.26,Rural,No
74,Mohit Bhatia,Tamil Nadu,Chennai,"Content Writing, Social Media, SEO",M.Com,1st,9.62,Urban,No
75,Smriti Kapoor,Tamil Nadu,Chennai,"SQL, Data Analysis, Web Development",B.Tech,Postgraduate,9.98,Urban,No
76,Ritika Joshi,Karnataka,Bengaluru,"Machine Learning, Data Analysis, SQL",Diploma,Postgraduate,9.4,Rural,Yes
77,Vivaan Patel,Bihar,Patna,"Taxation, Business Strategy, Financial Analysis",B.Com,1st,6.81,Rural,No
78,Yash Tiwari,Karnataka,Bengaluru,"Data Analysis, Python, Web Development",B.Sc,2nd,9.55,Rural,Yes
79,Gayatri Pillai,Madhya Pradesh,Indore,"Taxation, Auditing, Accounting",B.Com,1st,9.63,Rural,Yes
80,Harsh Vardhan,Maharashtra,Mumbai,"Training, Counselling, Teaching",Diploma,2nd,7.37,Urban,No
81,Simran Kaur,Madhya Pradesh,Indore,"Counselling, Social Work, Training",BBA,Graduate,9.08,Rural,Yes
82,Priya Jha,Rajasthan,Jaipur,"Teaching, Counselling, Training",BBA,2nd,8.12,Rural,Yes
83,Sai Iyer,Maharashtra,Pune,"Copywriting, Market Research, Digital Marketing",B.Com,1st,8.64,Rural,No
84,Omkar Patil,Haryana,Gurgaon,"Excel, Auditing, Accounting",B.Com,Postgraduate,7.12,Rural,No
85,Pallavi Reddy,Delhi,New Delhi,"Social Work, Counselling, Teaching",Diploma,4th,8.15,Rural,Yes
86,Arjun Reddy,Rajasthan,Jaipur,"Social Media, Content Writing, Copywriting",BBA,1st,8.16,Rural,No
87,Aditi Saxena,Jharkhand,Ranchi,"SQL, Machine Learning, Data Analysis",B.Tech,4th,9.32,Urban,Yes
88,Kavya Sethi,West Bengal,Kolkata,"Excel, Financial Analysis, Accounting",B.Tech,4th,9.09,Rural,Yes
89,Aditi Saxena,Madhya Pradesh,Indore,"Teaching, Social Work, Counselling",M.Com,2nd,8.13,Rural,Yes
90,Charvi Singh,Rajasthan,Jaipur,"Auditing, Excel, Business Strategy",B.Sc,1st,8.23,Urban,Yes
91,Aman Saxena,Rajasthan,Jaipur,"Legal Research, Policy Analysis, Drafting",Diploma,Graduate,9.59,Rural,Yes
92,Charvi Singh,Assam,Guwahati,"Public Health, Nursing, Lab Analysis",Diploma,2nd,8.65,Urban,No
93,Priya Jha,Assam,Guwahati,"Photoshop, Graphic Design, UI/UX",B.Tech,Postgraduate,6.47,Rural,Yes
94,Vihaan Gupta,Kerala,Kochi,"Policy Analysis, Legal Research, Drafting",B.Tech,Graduate,6.63,Rural,Yes
95,Simran Kaur,Odisha,Bhubaneswar,"Machine Learning, Java, Web Development",Medical,Postgraduate,6.23,Rural,No
96,Riddhi Deshmukh,Punjab,Amritsar,"Business Strategy, Financial Analysis, Auditing",Medical,Postgraduate,9.79,Rural,No
97,Smriti Kapoor,Assam,Guwahati,"Drafting, Policy Analysis, Legal Research",Law,3rd,6.11,Urban,No
98,Rohan Das,Haryana,Gurgaon,"Java, Python, Machine Learning",Law,3rd,8.74,Urban,Yes
99,Ananya Mishra,Bihar,Patna,"Photoshop, Graphic Design, UI/UX",B.Sc,Postgraduate,9.3,Rural,Yes
100,Rohan Das,Madhya Pradesh,Indore,"Java, Web Development, Python",BBA,2nd,6.03,Rural,Yes
